Region;Site;Unit;Batch;Species;Start Fish Density;End Fish Density;Hatchery;Lot Quality;Origin Year;Origin Month;From;To;Start Av. Wt.;End Av.Wt.;Model End Av. Wt. Act. Feed;Av. Wt. Deviation (%);Av. Wt. Before Sampl.;Model End Av. Wt. Sugg. Feed;Actual Feed;Feed Category;Supplier;Period Feed Qty;Suggested Feed Qty;Feed Deviation (%);Opening Fish No;Opening Biomass;Closing Fish No;Closing Biomass;Harvest Biomass;Transfer - (Kg);Transfer + (Kg);Biomass Produced;Biomass Produced Before Sampl.;Econ. FCR Period;Econ FCR Period Before Sampl.;Mortality No;Model Mortality No;Mortality Deviation (%);SFR Period (%);SFR Period (%) Before Sampl.;SGR Period (%);Max Feed Qty;Food Price;Current Grading;Feeding Policy;Group Tag;Vaccinated;Feeder;Feeding Rate (Kg / Hour);Fastings No;Avg. Temp.;Avg. Oxygene;Transfer - (No);Transfer + (No);Harvest (No);Sampling (No);LTD Mortality No;LTD Mortality %;LTD Econ. FCR;Period Day Degrees;Start Av. Weight Category;End Av. Weight Category;Experimental;Final Harvest;Start Av Weight BioCat;End Av Weight BioCat;BATCH.START.DATE;AGE
Aveiro;AQUACRIA;S12B;SS1204L;Sole;;;Stolt Sea Farm;;2012;April;7/10/2014;28/10/2014;349.34;348;353.68;-1.61;353.33;349.34;LE-5;ELITE;Skretting;19.9;0;0;606;211.70004;2338;813.624;767.9696;0;1387.19765;-17.30409;-4.84255;-1.150017135;-4.109405169;3;0;0;-11.01;-26.64;-0.02;19.9;0.449;M ;Feed Type 2015;;Unchecked;;0;0;20.98;0;0;4;16;1;869.71;13.08879722;2.670686577;188;300-400;300-400;;YES;300-400;300-400;1/4/2012;927
Aveiro;AQUACRIA;J03;SS1204L;Sole;;;Stolt Sea Farm;;2012;April;31/7/2014;31/7/2014;534;543;534;1.69;534;0;;;;0;0;0;350;186.9;350;190.05;0;0;0;3.15;0;0;0;0;0;0;0;0;0;;0;XL;Feed Type 2015;;Unchecked;;0;0;20.38;0;0;1;0;1;56.38;9.489665387;1.543093312;0;400-600;400-600;;YES;400+;400+;1/4/2012;839
Aveiro;AQUACRIA;S24A;SS1204L;Sole;;;Stolt Sea Farm;;2012;April;26/3/2014;26/4/2014;255.1;269;255.1;5.45;264.64;0;LE-5;ELITE;Skretting;0;0;0;10196;2600.9996;10132;2725.508;0;0;0;124.5084;80.33288;0;0;65;0;0;0;0;0.17;429.4;1.653;M ;Feed Type 2015;;Unchecked;;0;0;0;0;0;0;0;2;774.91;6.327831155;2.455585891;0;200-300;200-300;;YES;200-300;200-300;1/4/2012;745
Aveiro;AQUACRIA;S24A;SS1204L;Sole;42.41;44.13;Stolt Sea Farm;;2012;April;27/5/2014;24/6/2014;270;285;270;5.56;289.63;0;LE-5;ELITE;Skretting;0;0;0;10052;2714.04;9910;2824.35;0;0;0;110.31;156.1933;0;0;143;0;0;0;0;0.19;322.3;1.602;M ;Feed Type 2015;;Unchecked;;0;0;0;0;0;0;0;2;996.91;8.140659118;2.655452794;0;200-300;200-300;;YES;200-300;200-300;1/4/2012;803
Aveiro;AQUACRIA;S24A;SS1204L;Sole;44.13;46.68;Stolt Sea Farm;;2012;April;24/6/2014;31/7/2014;285;309;305.94;1;309.56;285;LE-5;ELITE;Skretting;286.3;0;0;9910;2824.35;9669;2987.721;0;0;0;163.371;168.78564;1.752453006;1.696234348;256;0;0;0.27;0.27;0.22;397.5;1.229;M ;Feed Type 2015;;Unchecked;;0;0;22.97;0;0;0;0;2;1237.91;10.10863902;2.639817397;605;200-300;300-400;;YES;200-300;300-400;1/4/2012;839
Aveiro;AQUACRIA;S24A;SS1204L;Sole;46.68;47.44;Stolt Sea Farm;;2012;April;31/7/2014;26/8/2014;309;320;322.36;-0.73;323.76;309;LE-5;ELITE;Skretting;184.6;0;0;9669;2987.721;9489;3036.48;0;0;0;48.759;84.43764;3.785967719;2.186228796;185;0;0;0.24;0.23;0.13;233.9;0.718;M ;Feed Type 2015;;Unchecked;;0;0;20.34;0;0;0;0;2;1417.91;11.57849953;2.6705866;428;300-400;300-400;;YES;300-400;300-400;1/4/2012;865
Aveiro;AQUACRIA;S24A;SS1204L;Sole;47.44;50.16;Stolt Sea Farm;;2012;April;26/8/2014;29/9/2014;320;345;341.93;0.9;340.03;320;LE-5;ELITE;Skretting;308.8;0;0;9489;3036.48;9305;3210.225;0;0;0;173.745;127.49915;1.777317333;2.421976931;191;0;0;0.29;0.29;0.22;308.8;0.63;M ;Feed Type 2015;;Unchecked;;0;0;20.48;0;0;0;0;2;1601.91;13.08102361;2.62170593;695;300-400;300-400;;YES;300-400;300-400;1/4/2012;898
Aveiro;AQUACRIA;S65B;SS1204L;Sole;;;Stolt Sea Farm;;2012;April;26/2/2014;26/3/2014;424;438.07;424;3.32;499.87;0;LE-5;ELITE;Skretting;0;0;0;66;27.984;3950;1730.3765;0;0;1830.29573;-127.90323;116.20677;0;0;29;0;0;0;0;0.12;208.6;1.653;XL;Feed Type 2015;;Unchecked;;0;0;0;0;0;13;0;1;276.54;6.033130513;1.438142784;0;400-600;400-600;;YES;400+;400+;1/4/2012;715
Aveiro;AQUACRIA;S63A;SS1204L;Sole;;;Stolt Sea Farm;;2012;April;16/9/2014;29/9/2014;367.1;389;371.8;4.63;371.89;367.1;LE-5;ELITE;Skretting;17.8;0;0;2326;853.8746;1871;727.819;159.59739;0;0;33.54179;1.52898;0.530681278;11.64174809;15;0;0;0.16;-18.33;0.45;17.8;0.63;315-415;Feed Type 2015;;Unchecked;;0;0;20.28;0;0;1;3;1;353.65;10.76674836;2.492711719;162;300-400;300-400;;YES;300-400;300-400;1/4/2012;898
Aveiro;AQUACRIA;P2B;SS1204L;Sole;;;Stolt Sea Farm;;2012;April;19/2/2014;28/2/2014;242.6;262.5;242.6;8.2;249.26;0;LE-5;ELITE;Skretting;0;0;0;2696;654.0496;2692;706.65;0;0;0;52.6004;16.95832;0;0;4;0;0;0;0;0.88;33.7;1.717;;Feed Type 2015;;Unchecked;;0;0;0;0;0;1;0;1;168.69;5.251982453;2.217982658;0;200-300;200-300;;YES;200-300;200-300;1/4/2012;687
