Region;Site;Unit;Batch;Species;Hatchery;Lot Quality;Origin Year;Origin Month;From;To;Start Av. Wt.;End Av.Wt.;Model End Av. Wt. Act. Feed;Av. Wt. Deviation (%);Av. Wt. Before Sampl.;Model End Av. Wt. Sugg. Feed;Actual Feed;Feed Category;Supplier;Period Feed Qty;Suggested Feed Qty;Feed Deviation (%);Opening Fish No;Opening Biomass;Closing Fish No;Closing Biomass;Harvest Biomass;Given Biomass;Taken Biomass;Biomass Produced;Biomass Produced Before Sampl.;FCR Period;FCR Before Sampl.;Mortality No;Model Mortality No;Mortality Deviation (%);SFR Period (%);SFR Period (%) Before Sampl.;SGR Period (%);Max Feed Qty;Food Price;Grading;Feeding Policy;Group Tag;Vaccinated;Feeder;Feeding Rate (Kg / Hour);Fastings No;Avg. Temp.;Avg. Oxygene;Transfer - (No);Transfer + (No);Harvest (No);Sampling (No);LTD Mortality No;LTD Mortality %;LTD Econ. FCR;Period Thermal Age;Experimental;Final Harvest
Aveiro;AQUACRIA;S24A;SS1204L;Sole;Stolt Sea Farm;;2012;April;31/7/2014;26/8/2014;309;320;322.36;-0.73;323.76;309;LE-5;ELITE;Skretting;184.6;0;0;9669;2987.72;9489;3036.48;0;0;0;48.76;84.44;3.79;2.19;185;0;0;0.24;0.23;0.13;233.9;0.72;M ;Feed Type 2015;;Unchecked;;0;0;20.34;0;0;0;0;2;1417.91;11.58;2.67;428;;YES
Aveiro;AQUACRIA;S25A;SS1112L;Sole;Stolt Sea Farm;;2011;December;31/7/2014;26/8/2014;191;202;201.39;0.3;200.62;191;LE-3;ELITE;Skretting;104.2;0;0;8705;1662.66;8456;1708.11;0;0;0;45.46;33.79;2.29;3.08;253;0;0;0.24;0.24;0.22;76.5;0.1;155-215;Feed Type 2015;;Unchecked;;0;0;20.34;0;0;2;0;2;1758.69;14.35;3.49;428;;YES
Aveiro;AQUACRIA;S32A;SE1304L;Sole;Safiestela;;2014;April;31/7/2014;26/8/2014;76;86;82.97;3.65;82.75;76;LE-2;ELITE;Skretting;237;0;0;33037;2510.81;32983;2836.54;0;0;0;325.73;218.53;0.73;1.08;54;0;0;0.34;0.35;0.48;217.5;0;;Feed Type 2015;;Unchecked;;0;0;20.34;0;0;0;0;2;275.49;0.83;1.04;428;;
Aveiro;AQUACRIA;S34A;SE1304L;Sole;Safiestela;;2014;April;31/7/2014;26/8/2014;122;145;137.96;5.1;136.37;122;LE-3;ELITE;Skretting;172.3;0;0;10002;1220.24;9985;1447.83;0;0;0;227.58;141.41;0.76;1.22;17;0;0;0.5;0.51;0.66;221.1;0.1;110-140;Feed Type 2015;;Unchecked;;0;0;20.34;0;0;0;0;2;133.29;1.32;0.88;428;;
Aveiro;AQUACRIA;S41A;SE1207L;Sole;Safiestela;;2013;August;31/7/2014;26/8/2014;131;142;140.38;1.15;139.16;131;LE-3;ELITE;Skretting;383.2;0;0;37837;4956.65;37804;5368.17;0;0;0;411.52;304.16;0.93;1.26;33;0;0;0.29;0.29;0.31;476.9;0.1;;Feed Type 2015;;Unchecked;;0;0;20.34;0;0;0;0;2;924.75;2.48;1.27;428;;
Aveiro;AQUACRIA;S45A;CM1304L;Sole;Cupimar;;2013;April;31/7/2014;26/8/2014;320;261;340.49;-23.35;343.65;320;LE-5;ELITE;Skretting;178.7;0;0;5995;1918.4;5146;1343.11;0;256.48;0;-318.81;106.5;-0.56;1.68;93;0;0;0.77;-0.53;-0.78;227.2;0.72;;Feed Type 2015;;Unchecked;;0;0;20.34;0;3;0;0;2;635.16;11.55;3.85;428;;
Aveiro;AQUACRIA;S62A;SS1204L;Sole;Stolt Sea Farm;;2012;April;31/7/2014;26/8/2014;278;286;289.18;-1.1;290.72;278;LE-5;ELITE;Skretting;21.5;0;0;4995;1388.61;1379;394.39;1007.14;0;0;12.92;19.43;1.66;1.11;8;0;0;0.06;-5.29;0.11;25.6;0.72;M ;Feed Type 2015;;Unchecked;;0;0;20.34;0;0;0;1;2;874.08;10.82;2.71;407;;YES
Aveiro;AQUACRIA;S64A;SS1204L;Sole;Stolt Sea Farm;;2012;April;31/7/2014;26/8/2014;410;430;426.93;0.72;434.61;410;LE-5;ELITE;Skretting;290.6;0;0;9037;3705.17;8963;3854.09;0;0;0;148.92;190.24;1.95;1.53;77;0;0;0.3;0.29;0.18;367.4;0.72;L ;Feed Type 2015;;Unchecked;;0;0;20.34;0;0;0;0;2;1145.42;9.43;2.1;428;;YES
Aveiro;AQUACRIA;S65A;SS1204L;Sole;Stolt Sea Farm;;2012;April;31/7/2014;26/8/2014;529;551;546.62;0.8;558.61;529;LE-5;ELITE;Skretting;75.3;0;0;2639;1396.03;938;516.84;0;1428.79;236;313.6;320.74;0.24;0.23;31;0;0;-0.92;-0.88;0.16;95.5;0.72;615-815;Feed Type 2015;;Unchecked;;0;0;20.34;0;11;3;0;2;178.29;10.43;1.63;428;;YES
Aveiro;AQUACRIA;N23A;SE1304L;Sole;Safiestela;;2014;April;1/8/2014;26/8/2014;99.98;121;114.57;5.61;113.32;99.98;LE-3;ELITE;Skretting;211.3;0;0;13805;1380.22;13787;1668.23;0;0;0;288;182.12;0.73;1.16;21;0;0;0.56;0.58;0.76;266.7;0.1;80-90;Feed Type 2015;;Unchecked;;0;0;20.34;0;0;1;0;1;176.46;1.26;1.11;407;;
